Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
0.1222139,0.5484053,-2.036442,0.005753912,0.3086621,-2.166429,-0.05573797,0.2972207,-2.470557
0.1084265,0.5538581,-2.033294,-0.00744871,0.3182845,-2.165755,-0.0555434,0.2971811,-2.470416
0.1084265,0.5538581,-2.033294,-0.00744871,0.3182845,-2.165755,-0.0555434,0.2971811,-2.470416
0.1084265,0.5538581,-2.033294,-0.00744871,0.3182845,-2.165755,-0.0555434,0.2971811,-2.470416
0.1084265,0.5538581,-2.033294,-0.00744871,0.3182845,-2.165755,-0.0555434,0.2971811,-2.470416
0.08471286,0.5646015,-2.029068,-0.01862122,0.3264098,-2.164847,-0.0554073,0.2971009,-2.470343
0.08471286,0.5646015,-2.029068,-0.01862122,0.3264098,-2.164847,-0.0554073,0.2971009,-2.470343
0.06616494,0.5696584,-2.02731,-0.03191666,0.3325508,-2.165191,-0.05540502,0.2970884,-2.470342
0.06616494,0.5696584,-2.02731,-0.03191666,0.3325508,-2.165191,-0.05540502,0.2970884,-2.470342
0.04363484,0.5734259,-2.025851,-0.04403161,0.3366648,-2.166785,-0.05540474,0.2970843,-2.470344
0.04363484,0.5734259,-2.025851,-0.04403161,0.3366648,-2.166785,-0.05540474,0.2970843,-2.470344
0.04363484,0.5734259,-2.025851,-0.04403161,0.3366648,-2.166785,-0.05540474,0.2970843,-2.470344
