Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
0.105444,0.533061,-2.440031,-0.1820808,0.4661333,-2.483384,-0.1536866,0.2066695,-2.626977,0.01129077,-0.0153963,-2.63676
0.105444,0.533061,-2.440031,-0.1820808,0.4661333,-2.483384,-0.1536866,0.2066695,-2.626977,0.01129077,-0.0153963,-2.63676
0.1117406,0.5008447,-2.449339,-0.182592,0.457543,-2.482305,-0.1534992,0.2094904,-2.630324,0.0124744,-0.01190916,-2.639307
0.1117406,0.5008447,-2.449339,-0.182592,0.457543,-2.482305,-0.1534992,0.2094904,-2.630324,0.0124744,-0.01190916,-2.639307
0.1236067,0.4860169,-2.462835,-0.1765259,0.4519871,-2.48136,-0.1517255,0.2162702,-2.634881,0.01401063,-0.005387758,-2.641049
0.1236067,0.4860169,-2.462835,-0.1765259,0.4519871,-2.48136,-0.1517255,0.2162702,-2.634881,0.01401063,-0.005387758,-2.641049
0.1188312,0.4751597,-2.461132,-0.1830681,0.4476085,-2.485985,-0.1531031,0.2061593,-2.624336,0.01425807,-0.01413591,-2.634435
0.1188312,0.4751597,-2.461132,-0.1830681,0.4476085,-2.485985,-0.1531031,0.2061593,-2.624336,0.01425807,-0.01413591,-2.634435
0.1188312,0.4751597,-2.461132,-0.1830681,0.4476085,-2.485985,-0.1531031,0.2061593,-2.624336,0.01425807,-0.01413591,-2.634435
0.1188312,0.4751597,-2.461132,-0.1830681,0.4476085,-2.485985,-0.1531031,0.2061593,-2.624336,0.01425807,-0.01413591,-2.634435
0.1145054,0.4721693,-2.460222,-0.187425,0.4428353,-2.486166,-0.1394317,0.190354,-2.612427,0.01857813,-0.03502826,-2.639344
0.1145054,0.4721693,-2.460222,-0.187425,0.4428353,-2.486166,-0.1394317,0.190354,-2.612427,0.01857813,-0.03502826,-2.639344
0.1163745,0.4769753,-2.456985,-0.1858407,0.4407371,-2.479682,-0.1214856,0.180002,-2.602294,0.02709439,-0.04958873,-2.643931
0.1163745,0.4769753,-2.456985,-0.1858407,0.4407371,-2.479682,-0.1214856,0.180002,-2.602294,0.02709439,-0.04958873,-2.643931
0.1149329,0.4846728,-2.455877,-0.1873224,0.440859,-2.48181,-0.1189361,0.1715539,-2.598364,0.02811663,-0.05833462,-2.644706
0.1149329,0.4846728,-2.455877,-0.1873224,0.440859,-2.48181,-0.1189361,0.1715539,-2.598364,0.02811663,-0.05833462,-2.644706
0.1149329,0.4846728,-2.455877,-0.1873224,0.440859,-2.48181,-0.1189361,0.1715539,-2.598364,0.02811663,-0.05833462,-2.644706
0.1149329,0.4846728,-2.455877,-0.1873224,0.440859,-2.48181,-0.1189361,0.1715539,-2.598364,0.02811663,-0.05833462,-2.644706
0.1151366,0.4912606,-2.457201,-0.1885713,0.4409393,-2.478458,-0.1172344,0.1640251,-2.595758,0.03335342,-0.06295408,-2.645155
0.1151366,0.4912606,-2.457201,-0.1885713,0.4409393,-2.478458,-0.1172344,0.1640251,-2.595758,0.03335342,-0.06295408,-2.645155
0.1164797,0.4926918,-2.44709,-0.1881963,0.4416984,-2.480823,-0.114367,0.1507614,-2.576917,0.02641268,-0.0796508,-2.637374
0.1164797,0.4926918,-2.44709,-0.1881963,0.4416984,-2.480823,-0.114367,0.1507614,-2.576917,0.02641268,-0.0796508,-2.637374
0.1164797,0.4926918,-2.44709,-0.1881963,0.4416984,-2.480823,-0.114367,0.1507614,-2.576917,0.02529179,-0.08311403,-2.640448
0.110907,0.4972428,-2.441471,-0.190865,0.4383913,-2.481003,-0.1180626,0.1469245,-2.584394,0.02529179,-0.08311403,-2.640448
