Hand_R, , ,Elbow_R, , ,Body, , 
0.3479687,0.1749307,-1.60772,0.1912689,-0.03877664,-1.792076,-0.1844798,-0.2174023,-1.899792
0.3479687,0.1749307,-1.60772,0.1912689,-0.03877664,-1.792076,-0.1844798,-0.2174023,-1.899792
0.3479687,0.1749307,-1.60772,0.1912689,-0.03877664,-1.792076,-0.1844798,-0.2174023,-1.899792
0.3479687,0.1749307,-1.60772,0.1912689,-0.03877664,-1.792076,-0.1844798,-0.2174023,-1.899792
0.3479687,0.1749307,-1.60772,0.1912689,-0.03877664,-1.792076,-0.1844798,-0.2174023,-1.899792
0.4157272,0.1036945,-1.6407,0.2047978,-0.05587827,-1.80832,-0.184625,-0.2196366,-1.899409
0.4157272,0.1036945,-1.6407,0.2047978,-0.05587827,-1.80832,-0.184625,-0.2196366,-1.899409
0.4157272,0.1036945,-1.6407,0.2047978,-0.05587827,-1.80832,-0.184625,-0.2196366,-1.899409
0.4157272,0.1036945,-1.6407,0.2047978,-0.05587827,-1.80832,-0.184625,-0.2196366,-1.899409
0.467065,0.001146428,-1.679564,0.2167054,-0.09074046,-1.829723,-0.1826338,-0.2278249,-1.899156
0.467065,0.001146428,-1.679564,0.2167054,-0.09074046,-1.829723,-0.1826338,-0.2278249,-1.899156
0.4740087,-0.0669613,-1.689928,0.2195562,-0.1167434,-1.842677,-0.1815574,-0.2294788,-1.898657
0.4740087,-0.0669613,-1.689928,0.2195562,-0.1167434,-1.842677,-0.1815574,-0.2294788,-1.898657
0.4740087,-0.0669613,-1.689928,0.2195562,-0.1167434,-1.842677,-0.1815574,-0.2294788,-1.898657
0.4740087,-0.0669613,-1.689928,0.2195562,-0.1167434,-1.842677,-0.1815574,-0.2294788,-1.898657
0.4563479,-0.1817043,-1.694838,0.206935,-0.1555131,-1.850927,-0.1806497,-0.2303158,-1.897824
0.4563479,-0.1817043,-1.694838,0.206935,-0.1555131,-1.850927,-0.1806497,-0.2303158,-1.897824
0.4175768,-0.2979365,-1.700679,0.1881453,-0.1942114,-1.8592,-0.1794877,-0.2319054,-1.896669
0.4175768,-0.2979365,-1.700679,0.1881453,-0.1942114,-1.8592,-0.1794877,-0.2319054,-1.896669
0.4175768,-0.2979365,-1.700679,0.1881453,-0.1942114,-1.8592,-0.1794877,-0.2319054,-1.896669
0.4175768,-0.2979365,-1.700679,0.1881453,-0.1942114,-1.8592,-0.1794877,-0.2319054,-1.896669
0.3550729,-0.3967228,-1.705636,0.1628216,-0.2320282,-1.864884,-0.1783413,-0.2321642,-1.896551
0.3550729,-0.3967228,-1.705636,0.1628216,-0.2320282,-1.864884,-0.1783413,-0.2321642,-1.896551
0.3550729,-0.3967228,-1.705636,0.1628216,-0.2320282,-1.864884,-0.1783413,-0.2321642,-1.896551
0.3550729,-0.3967228,-1.705636,0.1628216,-0.2320282,-1.864884,-0.1783413,-0.2321642,-1.896551
