Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.1971274,0.4586491,-2.089196,-0.2953039,0.2284715,-2.203453,-0.2211788,0.2100783,-2.501233,-0.04278492,-0.001249819,-2.526494
-0.1971274,0.4586491,-2.089196,-0.2953039,0.2284715,-2.203453,-0.2211788,0.2100783,-2.501233,-0.04278492,-0.001249819,-2.526494
-0.1882618,0.4580393,-2.090618,-0.2880057,0.2288768,-2.206673,-0.2168415,0.2085829,-2.499015,-0.03967252,-0.003262402,-2.528172
-0.1882618,0.4580393,-2.090618,-0.2880057,0.2288768,-2.206673,-0.2168415,0.2085829,-2.499015,-0.03967252,-0.003262402,-2.528172
-0.1882618,0.4580393,-2.090618,-0.2880057,0.2288768,-2.206673,-0.2168415,0.2085829,-2.499015,-0.03967252,-0.003262402,-2.528172
-0.1805087,0.4597012,-2.093506,-0.2814619,0.2296754,-2.210492,-0.2135921,0.2034915,-2.493313,-0.0368637,-0.007937298,-2.527666
-0.1805087,0.4597012,-2.093506,-0.2814619,0.2296754,-2.210492,-0.2135921,0.2034915,-2.493313,-0.0368637,-0.007937298,-2.527666
-0.1805087,0.4597012,-2.093506,-0.2814619,0.2296754,-2.210492,-0.2135921,0.2034915,-2.493313,-0.0368637,-0.007937298,-2.527666
-0.1805087,0.4597012,-2.093506,-0.2814619,0.2296754,-2.210492,-0.2135921,0.2034915,-2.493313,-0.0368637,-0.007937298,-2.527666
-0.1669047,0.4601738,-2.099411,-0.2731881,0.2285016,-2.209537,-0.211079,0.2053532,-2.494995,-0.03458263,-0.007173744,-2.522825
-0.1669047,0.4601738,-2.099411,-0.2731881,0.2285016,-2.209537,-0.211079,0.2053532,-2.494995,-0.03458263,-0.007173744,-2.522825
-0.1466464,0.4693175,-2.105597,-0.2530719,0.2344584,-2.205611,-0.2078173,0.2027246,-2.497566,-0.03261504,-0.01093694,-2.52516
-0.1466464,0.4693175,-2.105597,-0.2530719,0.2344584,-2.205611,-0.2078173,0.2027246,-2.497566,-0.03261504,-0.01093694,-2.52516
-0.1466464,0.4693175,-2.105597,-0.2530719,0.2344584,-2.205611,-0.2078173,0.2027246,-2.497566,-0.03261504,-0.01093694,-2.52516
-0.1466464,0.4693175,-2.105597,-0.2530719,0.2344584,-2.205611,-0.2078173,0.2027246,-2.497566,-0.03261504,-0.01093694,-2.52516
-0.1200555,0.4702842,-2.109889,-0.2362556,0.234268,-2.200905,-0.1978945,0.2238547,-2.503724,-0.03134863,0.003480813,-2.531179
-0.1200555,0.4702842,-2.109889,-0.2362556,0.234268,-2.200905,-0.1978945,0.2238547,-2.503724,-0.03134863,0.003480813,-2.531179
-0.09068038,0.4682764,-2.11476,-0.2158776,0.2319539,-2.197322,-0.1921364,0.2437434,-2.512345,-0.02887151,0.02008891,-2.532326
-0.09068038,0.4682764,-2.11476,-0.2158776,0.2319539,-2.197322,-0.1921364,0.2437434,-2.512345,-0.02887151,0.02008891,-2.532326
-0.02258807,0.4373198,-2.123225,-0.1780529,0.2178258,-2.200509,-0.207459,0.2233605,-2.51502,-0.02479165,0.01530309,-2.528752
-0.02258807,0.4373198,-2.123225,-0.1780529,0.2178258,-2.200509,-0.207459,0.2233605,-2.51502,-0.02479165,0.01530309,-2.528752
-0.02258807,0.4373198,-2.123225,-0.1780529,0.2178258,-2.200509,-0.207459,0.2233605,-2.51502,-0.02479165,0.01530309,-2.528752
-0.02258807,0.4373198,-2.123225,-0.1780529,0.2178258,-2.200509,-0.207459,0.2233605,-2.51502,-0.02479165,0.01530309,-2.528752
0.03090307,0.394024,-2.13854,-0.1580099,0.199935,-2.206573,-0.2157371,0.2090372,-2.507037,-0.02430441,0.008864951,-2.524289
0.03090307,0.394024,-2.13854,-0.1580099,0.199935,-2.206573,-0.2157371,0.2090372,-2.507037,-0.02430441,0.008864951,-2.524289
0.07180735,0.3303651,-2.148024,-0.1419518,0.1656559,-2.219714,-0.2201846,0.1813183,-2.495538,-0.03036612,-0.02025899,-2.516198
0.07180735,0.3303651,-2.148024,-0.1419518,0.1656559,-2.219714,-0.2201846,0.1813183,-2.495538,-0.03036612,-0.02025899,-2.516198
0.1014805,0.2621715,-2.157396,-0.1316803,0.1304395,-2.232985,-0.2088064,0.1593149,-2.495368,-0.02369582,-0.04681098,-2.513729
0.1014805,0.2621715,-2.157396,-0.1316803,0.1304395,-2.232985,-0.2088064,0.1593149,-2.495368,-0.02369582,-0.04681098,-2.513729
0.1014805,0.2621715,-2.157396,-0.1316803,0.1304395,-2.232985,-0.2088064,0.1593149,-2.495368,-0.02369582,-0.04681098,-2.513729
0.1014805,0.2621715,-2.157396,-0.1316803,0.1304395,-2.232985,-0.2088064,0.1593149,-2.495368,-0.02369582,-0.04681098,-2.513729
0.126391,0.1475083,-2.184781,-0.1323344,0.08407707,-2.252365,-0.2002638,0.1954182,-2.494029,-0.02127859,-0.01575695,-2.515492
0.126391,0.1475083,-2.184781,-0.1323344,0.08407707,-2.252365,-0.2002638,0.1954182,-2.494029,-0.02127859,-0.01575695,-2.515492
0.1470207,0.06692512,-2.191082,-0.1215319,0.04896132,-2.267421,-0.19912,0.2055876,-2.491235,-0.02081394,-0.006155794,-2.513364
0.1470207,0.06692512,-2.191082,-0.1215319,0.04896132,-2.267421,-0.19912,0.2055876,-2.491235,-0.02081394,-0.006155794,-2.513364
0.1470207,0.06692512,-2.191082,-0.1215319,0.04896132,-2.267421,-0.19912,0.2055876,-2.491235,-0.02081394,-0.006155794,-2.513364
0.1470207,0.06692512,-2.191082,-0.1215319,0.04896132,-2.267421,-0.19912,0.2055876,-2.491235,-0.02081394,-0.006155794,-2.513364
0.1026224,-0.05762836,-2.20851,-0.1465432,0.01865066,-2.299441,-0.1991581,0.2062981,-2.492274,-0.01969291,-0.005003869,-2.508336
0.1026224,-0.05762836,-2.20851,-0.1465432,0.01865066,-2.299441,-0.1991581,0.2062981,-2.492274,-0.01969291,-0.005003869,-2.508336
0.04966772,-0.1488914,-2.236904,-0.1673256,-0.004924029,-2.334835,-0.1976906,0.2087703,-2.497909,-0.02121051,-0.00542998,-2.506422
0.04966772,-0.1488914,-2.236904,-0.1673256,-0.004924029,-2.334835,-0.1976906,0.2087703,-2.497909,-0.02121051,-0.00542998,-2.506422
-0.003117002,-0.2178172,-2.278533,-0.1843916,-0.02258352,-2.363747,-0.198463,0.214339,-2.506927,-0.02535101,-0.002744974,-2.509148
-0.003117002,-0.2178172,-2.278533,-0.1843916,-0.02258352,-2.363747,-0.198463,0.214339,-2.506927,-0.02535101,-0.002744974,-2.509148
-0.003117002,-0.2178172,-2.278533,-0.1843916,-0.02258352,-2.363747,-0.198463,0.214339,-2.506927,-0.02535101,-0.002744974,-2.509148
-0.003117002,-0.2178172,-2.278533,-0.1843916,-0.02258352,-2.363747,-0.198463,0.214339,-2.506927,-0.02535101,-0.002744974,-2.509148
-0.06131076,-0.2540562,-2.318263,-0.2029913,-0.02431481,-2.395787,-0.1987227,0.210414,-2.509264,-0.02600457,-0.00699208,-2.511534
-0.06131076,-0.2540562,-2.318263,-0.2029913,-0.02431481,-2.395787,-0.1987227,0.210414,-2.509264,-0.02600457,-0.00699208,-2.511534
-0.1269858,-0.2932394,-2.347873,-0.2215202,-0.03877661,-2.420467,-0.194638,0.2029972,-2.503022,-0.02186131,-0.01354273,-2.519874
-0.1269858,-0.2932394,-2.347873,-0.2215202,-0.03877661,-2.420467,-0.194638,0.2029972,-2.503022,-0.02186131,-0.01354273,-2.519874
-0.1269858,-0.2932394,-2.347873,-0.2215202,-0.03877661,-2.420467,-0.194638,0.2029972,-2.503022,-0.02186131,-0.01354273,-2.519874
-0.18511,-0.3242875,-2.358594,-0.2322067,-0.06048669,-2.436316,-0.1914075,0.2023796,-2.506813,-0.01462499,-0.01115194,-2.52207
-0.18511,-0.3242875,-2.358594,-0.2322067,-0.06048669,-2.436316,-0.1914075,0.2023796,-2.506813,-0.01462499,-0.01115194,-2.52207
-0.18511,-0.3242875,-2.358594,-0.2322067,-0.06048669,-2.436316,-0.1914075,0.2023796,-2.506813,-0.01462499,-0.01115194,-2.52207
-0.18511,-0.3242875,-2.358594,-0.2322067,-0.06048669,-2.436316,-0.1914075,0.2023796,-2.506813,-0.01462499,-0.01115194,-2.52207
-0.2561563,-0.3357066,-2.362767,-0.2549054,-0.07126988,-2.459805,-0.1861228,0.2094425,-2.511899,-0.01158965,-0.006303599,-2.521583
