Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.218348,-0.2412364,-1.92061,0.1678831,-0.07381636,-2.154216,0.02025699,0.2137301,-2.258474,-0.1689317,0.009101207,-2.25956
0.218348,-0.2412364,-1.92061,0.1678831,-0.07381636,-2.154216,0.02025699,0.2137301,-2.258474,-0.1689317,0.009101207,-2.25956
0.218348,-0.2412364,-1.92061,0.1678831,-0.07381636,-2.154216,0.02025699,0.2137301,-2.258474,-0.1689317,0.009101207,-2.25956
0.1837246,-0.2599039,-1.93888,0.1492918,-0.06935751,-2.16193,0.02034396,0.2025947,-2.249555,-0.1715461,0.0008623835,-2.260331
0.1837246,-0.2599039,-1.93888,0.1492918,-0.06935751,-2.16193,0.02034396,0.2025947,-2.249555,-0.1715461,0.0008623835,-2.260331
0.1335596,-0.2808443,-1.946906,0.128148,-0.07393014,-2.157946,0.02119854,0.2025878,-2.250575,-0.1712125,0.001227358,-2.260483
0.1335596,-0.2808443,-1.946906,0.128148,-0.07393014,-2.157946,0.02119854,0.2025878,-2.250575,-0.1712125,0.001227358,-2.260483
0.08401369,-0.2886305,-1.949623,0.1140942,-0.08044548,-2.156468,0.02254966,0.2029559,-2.251123,-0.1697283,0.001458695,-2.261293
0.08401369,-0.2886305,-1.949623,0.1140942,-0.08044548,-2.156468,0.02254966,0.2029559,-2.251123,-0.1697283,0.001458695,-2.261293
0.03263444,-0.2898124,-1.944387,0.09459761,-0.08665946,-2.146213,0.01952889,0.209914,-2.250836,-0.1710867,0.006803076,-2.259456
0.03263444,-0.2898124,-1.944387,0.09459761,-0.08665946,-2.146213,0.01952889,0.209914,-2.250836,-0.1710867,0.006803076,-2.259456
-0.01751797,-0.2866112,-1.938577,0.069689,-0.08423394,-2.1338,0.01887995,0.2034383,-2.242668,-0.1714644,0.0007126527,-2.260325
-0.01751797,-0.2866112,-1.938577,0.069689,-0.08423394,-2.1338,0.01887995,0.2034383,-2.242668,-0.1714644,0.0007126527,-2.260325
-0.06190274,-0.272644,-1.945177,0.05868826,-0.08188932,-2.131506,0.02043059,0.200374,-2.238165,-0.1699075,-0.001947748,-2.260535
-0.06190274,-0.272644,-1.945177,0.05868826,-0.08188932,-2.131506,0.02043059,0.200374,-2.238165,-0.1699075,-0.001947748,-2.260535
-0.1133431,-0.2506096,-1.947558,0.03674546,-0.07132873,-2.120508,0.01972107,0.2022815,-2.237685,-0.1708813,0.0001440945,-2.259609
-0.1133431,-0.2506096,-1.947558,0.03674546,-0.07132873,-2.120508,0.01972107,0.2022815,-2.237685,-0.1708813,0.0001440945,-2.259609
-0.1509363,-0.2243495,-1.934411,0.01872743,-0.06306735,-2.102249,0.0100806,0.2051545,-2.231566,-0.180768,0.004787537,-2.264067
-0.1509363,-0.2243495,-1.934411,0.01872743,-0.06306735,-2.102249,0.0100806,0.2051545,-2.231566,-0.180768,0.004787537,-2.264067
-0.1509363,-0.2243495,-1.934411,0.01872743,-0.06306735,-2.102249,0.0100806,0.2051545,-2.231566,-0.180768,0.004787537,-2.264067
-0.182037,-0.196875,-1.924017,0.003638805,-0.05293204,-2.089606,0.01173428,0.200746,-2.227136,-0.1807113,0.002523661,-2.263603
-0.182037,-0.196875,-1.924017,0.003638805,-0.05293204,-2.089606,0.01173428,0.200746,-2.227136,-0.1807113,0.002523661,-2.263603
-0.182037,-0.196875,-1.924017,0.003638805,-0.05293204,-2.089606,0.01173428,0.200746,-2.227136,-0.1807113,0.002523661,-2.263603
-0.182037,-0.196875,-1.924017,0.003638805,-0.05293204,-2.089606,0.01173428,0.200746,-2.227136,-0.1807113,0.002523661,-2.263603
-0.2238661,-0.1656285,-1.91335,-0.01415351,-0.04426562,-2.067685,0.005485793,0.2044635,-2.222709,-0.1845759,0.005108251,-2.264891
-0.2238661,-0.1656285,-1.91335,-0.01415351,-0.04426562,-2.067685,0.005485793,0.2044635,-2.222709,-0.1845759,0.005108251,-2.264891
-0.2494742,-0.1305215,-1.914146,-0.02579229,-0.03115936,-2.056767,0.003994923,0.201124,-2.217586,-0.1873553,0.003203937,-2.260912
-0.2494742,-0.1305215,-1.914146,-0.02579229,-0.03115936,-2.056767,0.003994923,0.201124,-2.217586,-0.1873553,0.003203937,-2.260912
-0.2837842,-0.08756024,-1.906031,-0.04387479,-0.01871516,-2.036895,0.002110527,0.2026828,-2.213413,-0.1875751,0.00438357,-2.261994
-0.2837842,-0.08756024,-1.906031,-0.04387479,-0.01871516,-2.036895,0.002110527,0.2026828,-2.213413,-0.1875751,0.00438357,-2.261994
-0.3041588,-0.04004685,-1.894768,-0.05570924,0.0004582189,-2.018818,0.004114768,0.2119525,-2.212119,-0.1806478,0.01051299,-2.266334
-0.3041588,-0.04004685,-1.894768,-0.05570924,0.0004582189,-2.018818,0.004114768,0.2119525,-2.212119,-0.1806478,0.01051299,-2.266334
-0.3261653,0.0158799,-1.876065,-0.07315207,0.01897264,-1.998725,0.002953992,0.2094046,-2.208696,-0.1793568,0.006533684,-2.26592
-0.3261653,0.0158799,-1.876065,-0.07315207,0.01897264,-1.998725,0.002953992,0.2094046,-2.208696,-0.1793568,0.006533684,-2.26592
-0.3331267,0.06917575,-1.861278,-0.08125738,0.0371004,-1.983594,-0.0004132845,0.2031151,-2.203835,-0.1813808,0.0005435261,-2.266098
-0.3331267,0.06917575,-1.861278,-0.08125738,0.0371004,-1.983594,-0.0004132845,0.2031151,-2.203835,-0.1813808,0.0005435261,-2.266098
-0.3353641,0.1144374,-1.85161,-0.087629,0.05937052,-1.970085,-0.00143076,0.2065902,-2.19944,-0.1802604,0.004064773,-2.267746
-0.3353641,0.1144374,-1.85161,-0.087629,0.05937052,-1.970085,-0.00143076,0.2065902,-2.19944,-0.1802604,0.004064773,-2.267746
-0.3346866,0.1630601,-1.841709,-0.08947877,0.08860127,-1.956272,-0.007272452,0.2072502,-2.200447,-0.1831612,0.003319725,-2.272106
-0.3346866,0.1630601,-1.841709,-0.08947877,0.08860127,-1.956272,-0.007272452,0.2072502,-2.200447,-0.1831612,0.003319725,-2.272106
-0.3346866,0.1630601,-1.841709,-0.08947877,0.08860127,-1.956272,-0.007272452,0.2072502,-2.200447,-0.1831612,0.003319725,-2.272106
-0.3291144,0.2087259,-1.829044,-0.09132883,0.1150203,-1.947257,-0.01560824,0.2091059,-2.200837,-0.1870279,0.00264145,-2.275899
-0.3291144,0.2087259,-1.829044,-0.09132883,0.1150203,-1.947257,-0.01560824,0.2091059,-2.200837,-0.1870279,0.00264145,-2.275899
-0.3157314,0.2544579,-1.821305,-0.08973272,0.1375588,-1.942606,-0.01869969,0.2168577,-2.20694,-0.1905618,0.008544375,-2.275646
-0.3157314,0.2544579,-1.821305,-0.08973272,0.1375588,-1.942606,-0.01869969,0.2168577,-2.20694,-0.1905618,0.008544375,-2.275646
-0.3058008,0.2939214,-1.817888,-0.08289056,0.1659264,-1.935711,-0.01618201,0.2128678,-2.209067,-0.1912733,0.006574923,-2.27548
-0.3058008,0.2939214,-1.817888,-0.08289056,0.1659264,-1.935711,-0.01618201,0.2128678,-2.209067,-0.1912733,0.006574923,-2.27548
-0.2895176,0.3361104,-1.813095,-0.07715115,0.1913982,-1.9308,-0.01077652,0.2131358,-2.211105,-0.1883034,0.007786383,-2.274107
