Hand_R, , ,Elbow_R, , ,Body, , 
0.2328235,-0.50103,-1.696612,0.1991017,-0.3202253,-1.912504,-0.08140646,-0.2578245,-2.060819
0.1662843,-0.5267367,-1.697292,0.1712312,-0.3347586,-1.910684,-0.07954538,-0.2567165,-2.05909
0.1662843,-0.5267367,-1.697292,0.1712312,-0.3347586,-1.910684,-0.07954538,-0.2567165,-2.05909
0.07683172,-0.5308131,-1.706774,0.1414219,-0.336707,-1.90873,-0.07544163,-0.2563289,-2.055651
0.07683172,-0.5308131,-1.706774,0.1414219,-0.336707,-1.90873,-0.07544163,-0.2563289,-2.055651
0.07683172,-0.5308131,-1.706774,0.1414219,-0.336707,-1.90873,-0.07544163,-0.2563289,-2.055651
0.07683172,-0.5308131,-1.706774,0.1414219,-0.336707,-1.90873,-0.07544163,-0.2563289,-2.055651
-0.01376774,-0.5107455,-1.714418,0.1093204,-0.3263734,-1.898281,-0.07434866,-0.2569169,-2.056414
-0.01376774,-0.5107455,-1.714418,0.1093204,-0.3263734,-1.898281,-0.07434866,-0.2569169,-2.056414
-0.06723361,-0.4822721,-1.711832,0.08639926,-0.3138474,-1.885815,-0.07500291,-0.258637,-2.056587
-0.06723361,-0.4822721,-1.711832,0.08639926,-0.3138474,-1.885815,-0.07500291,-0.258637,-2.056587
-0.06723361,-0.4822721,-1.711832,0.08639926,-0.3138474,-1.885815,-0.07500291,-0.258637,-2.056587
-0.06723361,-0.4822721,-1.711832,0.08639926,-0.3138474,-1.885815,-0.07500291,-0.258637,-2.056587
-0.06723361,-0.4822721,-1.711832,0.08639926,-0.3138474,-1.885815,-0.07500291,-0.258637,-2.056587
-0.06723361,-0.4822721,-1.711832,0.08639926,-0.3138474,-1.885815,-0.07500291,-0.258637,-2.056587
-0.1357596,-0.4392261,-1.716402,0.05518495,-0.2910596,-1.861637,-0.07639258,-0.2568313,-2.05389
-0.1357596,-0.4392261,-1.716402,0.05518495,-0.2910596,-1.861637,-0.07639258,-0.2568313,-2.05389
-0.1798637,-0.3923335,-1.708265,0.03520373,-0.2727982,-1.846458,-0.07829701,-0.2556637,-2.050934
-0.1798637,-0.3923335,-1.708265,0.03520373,-0.2727982,-1.846458,-0.07829701,-0.2556637,-2.050934
-0.1798637,-0.3923335,-1.708265,0.03520373,-0.2727982,-1.846458,-0.07829701,-0.2556637,-2.050934
-0.1798637,-0.3923335,-1.708265,0.03520373,-0.2727982,-1.846458,-0.07829701,-0.2556637,-2.050934
-0.2239134,-0.3189188,-1.694154,0.01337567,-0.2407242,-1.819639,-0.08002649,-0.25641,-2.047636
-0.2239134,-0.3189188,-1.694154,0.01337567,-0.2407242,-1.819639,-0.08002649,-0.25641,-2.047636
-0.2239134,-0.3189188,-1.694154,0.001256669,-0.2083487,-1.803683,-0.08173887,-0.2560929,-2.04886
-0.2478683,-0.268259,-1.68259,0.001256669,-0.2083487,-1.803683,-0.08173887,-0.2560929,-2.04886
-0.2478683,-0.268259,-1.68259,0.001256669,-0.2083487,-1.803683,-0.08173887,-0.2560929,-2.04886
-0.2478683,-0.268259,-1.68259,0.001256669,-0.2083487,-1.803683,-0.08173887,-0.2560929,-2.04886
-0.2478683,-0.268259,-1.68259,0.001256669,-0.2083487,-1.803683,-0.08173887,-0.2560929,-2.04886
-0.2595252,-0.190303,-1.662655,-0.007699985,-0.1656395,-1.787265,-0.08109494,-0.2572521,-2.051214
-0.2595252,-0.190303,-1.662655,-0.007699985,-0.1656395,-1.787265,-0.08109494,-0.2572521,-2.051214
-0.2595252,-0.190303,-1.662655,-0.007699985,-0.1656395,-1.787265,-0.08109494,-0.2572521,-2.051214
-0.2595252,-0.190303,-1.662655,-0.007699985,-0.1656395,-1.787265,-0.08109494,-0.2572521,-2.051214
-0.2709693,-0.1031548,-1.647716,-0.01660885,-0.1161121,-1.771128,-0.08044647,-0.256293,-2.054985
-0.2709693,-0.1031548,-1.647716,-0.01660885,-0.1161121,-1.771128,-0.08044647,-0.256293,-2.054985
-0.2732859,-0.04601314,-1.63674,-0.02063964,-0.08371623,-1.760741,-0.07827001,-0.2592545,-2.059033
-0.2732859,-0.04601314,-1.63674,-0.02063964,-0.08371623,-1.760741,-0.07827001,-0.2592545,-2.059033
-0.2563825,0.02982856,-1.624011,-0.0181714,-0.04146082,-1.753593,-0.08023542,-0.2583093,-2.060889
-0.2563825,0.02982856,-1.624011,-0.0181714,-0.04146082,-1.753593,-0.08023542,-0.2583093,-2.060889
-0.2563825,0.02982856,-1.624011,-0.0181714,-0.04146082,-1.753593,-0.08023542,-0.2583093,-2.060889
-0.2563825,0.02982856,-1.624011,-0.0181714,-0.04146082,-1.753593,-0.08023542,-0.2583093,-2.060889
-0.2430403,0.07964353,-1.614829,-0.01727535,-0.0174732,-1.752289,-0.08447091,-0.2548912,-2.058542
