Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
0.3508848,-0.1742174,-2.434444,0.1985476,0.01203915,-2.582641,0.1297191,0.2787328,-2.578667
0.3922246,-0.1451623,-2.428855,0.2411074,0.02714032,-2.592328,0.1298231,0.2785891,-2.578748
0.3922246,-0.1451623,-2.428855,0.2411074,0.02714032,-2.592328,0.1298231,0.2785891,-2.578748
0.3922246,-0.1451623,-2.428855,0.2411074,0.02714032,-2.592328,0.1298231,0.2785891,-2.578748
0.3922246,-0.1451623,-2.428855,0.2411074,0.02714032,-2.592328,0.1298231,0.2785891,-2.578748
0.4291439,-0.1047684,-2.418302,0.2553726,0.03351698,-2.595497,0.129907,0.2784805,-2.578817
0.4291439,-0.1047684,-2.418302,0.2553726,0.03351698,-2.595497,0.129907,0.2784805,-2.578817
0.4707323,-0.05055176,-2.392052,0.2726691,0.04557053,-2.59402,0.1299738,0.2784105,-2.578863
0.4707323,-0.05055176,-2.392052,0.2726691,0.04557053,-2.59402,0.1299738,0.2784105,-2.578863
0.4707323,-0.05055176,-2.392052,0.2726691,0.04557053,-2.59402,0.1299738,0.2784105,-2.578863
0.4707323,-0.05055176,-2.392052,0.2726691,0.04557053,-2.59402,0.1299738,0.2784105,-2.578863
0.5088938,0.009963338,-2.358443,0.2883415,0.06032659,-2.589848,0.1300389,0.2783523,-2.578919
0.5088938,0.009963338,-2.358443,0.2883415,0.06032659,-2.589848,0.1300389,0.2783523,-2.578919
0.5088938,0.009963338,-2.358443,0.2883415,0.06032659,-2.589848,0.1300389,0.2783523,-2.578919
0.5495616,0.08404061,-2.318247,0.3118586,0.08253849,-2.569845,0.130135,0.2782697,-2.579011
0.5495616,0.08404061,-2.318247,0.3118586,0.08253849,-2.569845,0.130135,0.2782697,-2.579011
0.5495616,0.08404061,-2.318247,0.3118586,0.08253849,-2.569845,0.130135,0.2782697,-2.579011
0.5495616,0.08404061,-2.318247,0.3118586,0.08253849,-2.569845,0.130135,0.2782697,-2.579011
0.5643857,0.1390489,-2.292478,0.3296761,0.105192,-2.555053,0.1302586,0.2781687,-2.579151
0.5643857,0.1390489,-2.292478,0.3296761,0.105192,-2.555053,0.1302586,0.2781687,-2.579151
0.5650158,0.1973704,-2.263708,0.3420393,0.1280795,-2.540118,0.1303992,0.278059,-2.579323
0.5650158,0.1973704,-2.263708,0.3420393,0.1280795,-2.540118,0.1303992,0.278059,-2.579323
0.5650158,0.1973704,-2.263708,0.3420393,0.1280795,-2.540118,0.1303992,0.278059,-2.579323
0.5650158,0.1973704,-2.263708,0.3420393,0.1280795,-2.540118,0.1303992,0.278059,-2.579323
0.5537271,0.2623968,-2.241169,0.3495333,0.1461205,-2.528779,0.1305393,0.2779506,-2.579498
0.5537271,0.2623968,-2.241169,0.3495333,0.1461205,-2.528779,0.1305393,0.2779506,-2.579498
0.5537271,0.2623968,-2.241169,0.3495333,0.1461205,-2.528779,0.1305393,0.2779506,-2.579498
0.5537271,0.2623968,-2.241169,0.3495333,0.1461205,-2.528779,0.1305393,0.2779506,-2.579498
0.5309798,0.3224858,-2.224288,0.3538819,0.1685424,-2.515202,0.130679,0.2778428,-2.579707
0.5309798,0.3224858,-2.224288,0.3538819,0.1685424,-2.515202,0.130679,0.2778428,-2.579707
0.4973497,0.3709761,-2.207761,0.3531848,0.1894036,-2.501861,0.1308174,0.2777588,-2.57992
0.4973497,0.3709761,-2.207761,0.3531848,0.1894036,-2.501861,0.1308174,0.2777588,-2.57992
0.4565825,0.4137803,-2.19827,0.3510421,0.2042219,-2.490861,0.1309699,0.2776783,-2.580168
0.4565825,0.4137803,-2.19827,0.3510421,0.2042219,-2.490861,0.1309699,0.2776783,-2.580168
0.4565825,0.4137803,-2.19827,0.3510421,0.2042219,-2.490861,0.1309699,0.2776783,-2.580168
0.4565825,0.4137803,-2.19827,0.3510421,0.2042219,-2.490861,0.1309699,0.2776783,-2.580168
0.4144291,0.4412307,-2.197594,0.3491269,0.2142082,-2.482453,0.131081,0.2776358,-2.580393
0.4144291,0.4412307,-2.197594,0.3491269,0.2142082,-2.482453,0.131081,0.2776358,-2.580393
0.4144291,0.4412307,-2.197594,0.3491269,0.2142082,-2.482453,0.131081,0.2776358,-2.580393
0.4144291,0.4412307,-2.197594,0.3491269,0.2142082,-2.482453,0.131081,0.2776358,-2.580393
0.3582268,0.4692842,-2.196715,0.3411278,0.2248569,-2.468149,0.1311632,0.2776064,-2.580565
0.3582268,0.4692842,-2.196715,0.3411278,0.2248569,-2.468149,0.1311632,0.2776064,-2.580565
0.3115548,0.4841444,-2.201838,0.3343362,0.232236,-2.458296,0.1312373,0.2775933,-2.580739
0.3115548,0.4841444,-2.201838,0.3343362,0.232236,-2.458296,0.1312373,0.2775933,-2.580739
0.3115548,0.4841444,-2.201838,0.3343362,0.232236,-2.458296,0.1312373,0.2775933,-2.580739
0.3115548,0.4841444,-2.201838,0.3343362,0.232236,-2.458296,0.1312373,0.2775933,-2.580739
0.2620318,0.4958872,-2.207656,0.3204981,0.2418058,-2.441039,0.1313211,0.2775929,-2.580959
0.2620318,0.4958872,-2.207656,0.3204981,0.2418058,-2.441039,0.1313211,0.2775929,-2.580959
