Hand_R, , ,Shoulder_R, , 
-0.2300666,0.3118472,-2.053438,0.04446488,0.30261,-2.449287
-0.2156525,0.3585608,-2.048481,0.04554605,0.3001723,-2.452377
-0.2156525,0.3585608,-2.048481,0.04554605,0.3001723,-2.452377
-0.1949085,0.4048228,-2.044947,0.04296685,0.3017499,-2.456147
-0.1949085,0.4048228,-2.044947,0.04296685,0.3017499,-2.456147
-0.1949085,0.4048228,-2.044947,0.04296685,0.3017499,-2.456147
-0.1949085,0.4048228,-2.044947,0.04296685,0.3017499,-2.456147
-0.1719842,0.4441428,-2.044005,0.04640885,0.2970992,-2.460382
-0.1719842,0.4441428,-2.044005,0.04640885,0.2970992,-2.460382
-0.1488987,0.4810317,-2.0482,0.03778348,0.2711324,-2.465728
-0.1488987,0.4810317,-2.0482,0.03778348,0.2711324,-2.465728
-0.1488987,0.4810317,-2.0482,0.03778348,0.2711324,-2.465728
-0.1488987,0.4810317,-2.0482,0.03778348,0.2711324,-2.465728
-0.1200467,0.520221,-2.049143,0.02813632,0.2556704,-2.464759
-0.1200467,0.520221,-2.049143,0.02813632,0.2556704,-2.464759
-0.09441962,0.5513957,-2.052952,0.02862947,0.2360719,-2.461962
-0.09441962,0.5513957,-2.052952,0.02862947,0.2360719,-2.461962
-0.09441962,0.5513957,-2.052952,0.02862947,0.2360719,-2.461962
-0.0706137,0.574257,-2.057568,0.03128782,0.2343699,-2.45872
-0.0706137,0.574257,-2.057568,0.03128782,0.2343699,-2.45872
-0.0706137,0.574257,-2.057568,0.03128782,0.2343699,-2.45872
-0.0706137,0.574257,-2.057568,0.03128782,0.2343699,-2.45872
-0.04900839,0.5884063,-2.057606,0.02924966,0.232239,-2.459962
-0.04900839,0.5884063,-2.057606,0.02924966,0.232239,-2.459962
-0.01641315,0.5775396,-2.045918,0.02975526,0.2325597,-2.462952
-0.01641315,0.5775396,-2.045918,0.02975526,0.2325597,-2.462952
0.006071542,0.5774409,-2.038452,0.02939136,0.2332976,-2.462493
0.006071542,0.5774409,-2.038452,0.02939136,0.2332976,-2.462493
0.006071542,0.5774409,-2.038452,0.02939136,0.2332976,-2.462493
0.006071542,0.5774409,-2.038452,0.02939136,0.2332976,-2.462493
0.03233953,0.5798656,-2.032209,0.02869116,0.2308327,-2.461327
0.03233953,0.5798656,-2.032209,0.02869116,0.2308327,-2.461327
0.04536309,0.5814791,-2.030817,0.04406853,0.2790993,-2.469268
