Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.1508307,0.7512813,-2.30832,0.2103295,0.4825,-2.444656,0.1636028,0.2118561,-2.555342,-0.007031476,-0.004985616,-2.578059
0.1508307,0.7512813,-2.30832,0.2103295,0.4825,-2.444656,0.1636028,0.2118561,-2.555342,-0.007031476,-0.004985616,-2.578059
0.09343455,0.7384066,-2.307633,0.1924697,0.4836766,-2.448259,0.16439,0.2181005,-2.558618,-0.006615447,0.001363518,-2.579201
0.09343455,0.7384066,-2.307633,0.1924697,0.4836766,-2.448259,0.16439,0.2181005,-2.558618,-0.006615447,0.001363518,-2.579201
0.03323199,0.7276939,-2.305068,0.1707888,0.4891734,-2.441752,0.1632218,0.2175877,-2.557713,-0.006665813,4.615265E-05,-2.579242
0.03323199,0.7276939,-2.305068,0.1707888,0.4891734,-2.441752,0.1632218,0.2175877,-2.557713,-0.006665813,4.615265E-05,-2.579242
-0.02509351,0.7037926,-2.307202,0.1545784,0.4878109,-2.430922,0.1603207,0.2149027,-2.555453,-0.008720934,-0.003042281,-2.579451
-0.02509351,0.7037926,-2.307202,0.1545784,0.4878109,-2.430922,0.1603207,0.2149027,-2.555453,-0.008720934,-0.003042281,-2.579451
-0.02509351,0.7037926,-2.307202,0.1545784,0.4878109,-2.430922,0.1603207,0.2149027,-2.555453,-0.008720934,-0.003042281,-2.579451
-0.02509351,0.7037926,-2.307202,0.1545784,0.4878109,-2.430922,0.1603207,0.2149027,-2.555453,-0.008720934,-0.003042281,-2.579451
-0.09333816,0.6849345,-2.321233,0.1318753,0.4999034,-2.420107,0.161894,0.2098459,-2.550209,-0.004932578,-0.009044448,-2.580092
-0.09333816,0.6849345,-2.321233,0.1318753,0.4999034,-2.420107,0.161894,0.2098459,-2.550209,-0.004932578,-0.009044448,-2.580092
-0.1446626,0.6478991,-2.336769,0.1130931,0.4974262,-2.412785,0.1613341,0.2128936,-2.550089,-0.005889724,-0.005750226,-2.579783
-0.1446626,0.6478991,-2.336769,0.1130931,0.4974262,-2.412785,0.1613341,0.2128936,-2.550089,-0.005889724,-0.005750226,-2.579783
-0.1830471,0.600333,-2.35033,0.09982846,0.4935227,-2.408514,0.1587299,0.2157131,-2.550055,-0.007481659,-0.003807549,-2.578821
-0.1830471,0.600333,-2.35033,0.09982846,0.4935227,-2.408514,0.1587299,0.2157131,-2.550055,-0.007481659,-0.003807549,-2.578821
-0.2023803,0.546053,-2.356106,0.09325621,0.4838741,-2.404496,0.1563488,0.2133591,-2.5466,-0.01058373,-0.004908975,-2.580225
-0.2023803,0.546053,-2.356106,0.09325621,0.4838741,-2.404496,0.1563488,0.2133591,-2.5466,-0.01058373,-0.004908975,-2.580225
-0.2095532,0.4923951,-2.370836,0.09219599,0.4717181,-2.403328,0.1544962,0.2064483,-2.541815,-0.01202224,-0.011708,-2.578231
-0.2095532,0.4923951,-2.370836,0.09219599,0.4717181,-2.403328,0.1544962,0.2064483,-2.541815,-0.01202224,-0.011708,-2.578231
-0.2130374,0.4485556,-2.386641,0.0883905,0.4651218,-2.401119,0.1405434,0.201314,-2.541906,-0.01631939,-0.02315902,-2.580562
-0.2130374,0.4485556,-2.386641,0.0883905,0.4651218,-2.401119,0.1405434,0.201314,-2.541906,-0.01631939,-0.02315902,-2.580562
-0.2130374,0.4485556,-2.386641,0.0883905,0.4651218,-2.401119,0.1405434,0.201314,-2.541906,-0.01631939,-0.02315902,-2.580562
-0.2130374,0.4485556,-2.386641,0.0883905,0.4651218,-2.401119,0.1405434,0.201314,-2.541906,-0.01631939,-0.02315902,-2.580562
-0.213938,0.4138328,-2.398326,0.08307734,0.4613439,-2.402304,0.1174574,0.1914723,-2.532753,-0.01859388,-0.04420732,-2.580849
-0.213938,0.4138328,-2.398326,0.08307734,0.4613439,-2.402304,0.1174574,0.1914723,-2.532753,-0.01859388,-0.04420732,-2.580849
-0.2101161,0.3888356,-2.39113,0.08072774,0.4582019,-2.40211,0.1083591,0.1847059,-2.528276,-0.0217363,-0.05430689,-2.578513
-0.2101161,0.3888356,-2.39113,0.08072774,0.4582019,-2.40211,0.1083591,0.1847059,-2.528276,-0.0217363,-0.05430689,-2.578513
-0.2109397,0.3714261,-2.397458,0.07523017,0.4551454,-2.39851,0.1098549,0.1827221,-2.528627,-0.0238905,-0.05443705,-2.578582
-0.2109397,0.3714261,-2.397458,0.07523017,0.4551454,-2.39851,0.1098549,0.1827221,-2.528627,-0.0238905,-0.05443705,-2.578582
-0.2109397,0.3714261,-2.397458,0.07138828,0.4535515,-2.398064,0.1086773,0.1783431,-2.526941,-0.02386657,-0.05950299,-2.576995
-0.21311,0.3656777,-2.402993,0.07138828,0.4535515,-2.398064,0.1086773,0.1783431,-2.526941,-0.02386657,-0.05950299,-2.576995
-0.21311,0.3656777,-2.402993,0.07138828,0.4535515,-2.398064,0.1086773,0.1783431,-2.526941,-0.02386657,-0.05950299,-2.576995
-0.2142244,0.363603,-2.402392,0.06958814,0.452421,-2.395185,0.1083614,0.1755273,-2.526106,-0.02241486,-0.06333086,-2.576046
-0.2142244,0.363603,-2.402392,0.06958814,0.452421,-2.395185,0.1083614,0.1755273,-2.526106,-0.02241486,-0.06333086,-2.576046
-0.2142244,0.363603,-2.402392,0.06958814,0.452421,-2.395185,0.1083614,0.1755273,-2.526106,-0.02241486,-0.06333086,-2.576046
-0.2142244,0.363603,-2.402392,0.06958814,0.452421,-2.395185,0.1083614,0.1755273,-2.526106,-0.02241486,-0.06333086,-2.576046
-0.2165695,0.3640849,-2.399649,0.06700689,0.4513892,-2.390714,0.1227537,0.183397,-2.539961,-0.01503972,-0.05357587,-2.577747
